,,East,,Central,,West,
Day,Date,Songlist,Recording,Songlist,Recording,Songlist,Recording
1,10/31/2022,https://gist.github.com/581d13a207b94e103583f9b2e9b045a1,https://youtu.be/rpV2Nv2NKTs,https://gist.github.com/46225195921dfd646627b4295c975aaf,https://youtu.be/wN0SyABGmvw,https://gist.github.com/1dc999d823232e4aa7c1414a8e657657,https://youtu.be/TNyCj3KGydM
2,11/1/2022,https://gist.github.com/5a3f81f1f3219c05c007489bdb943c86,https://youtu.be/K6kAfp-YPHQ,https://gist.github.com/e04cc8f5ea3875265999d4269a59dcbb,https://youtu.be/D9Fs-97_Ijo,https://gist.github.com/c77c94ab7644546d63d3ca460fcd0b65,https://youtu.be/FGRV6mTUR6Q
3,11/2/2022,https://gist.github.com/6a64ceea0a508f1ff5885701dcea0885,https://youtu.be/s5L1_TxSOYE,https://gist.github.com/d340d8e929203d1a69789d9f6b87eea3,https://youtu.be/DTtmuiXg2mw,https://gist.github.com/bf3edd33d317f7913cae6f8c69686b59,https://youtu.be/lbfHJ8OtH60
4,11/3/2022,https://gist.github.com/5bff13d591be96951425c467184b8393,https://youtu.be/CSNUiAlmLmY,https://gist.github.com/a30a2f033150ba10e4b2f20bb07f244b,https://youtu.be/LE_Q9_TFs4k,https://gist.github.com/33df8e307935cc9c60722d7ce8cc60a4,https://youtu.be/BlUNZb6u89w
5,11/4/2022,https://gist.github.com/0d8be69f5955c1bae7a333a9b10e0dd1,https://youtu.be/i39QGPEjjDU,https://gist.github.com/be4bad03b4feda713795fc6ffa79367a,https://youtu.be/f42HvOezLxg,https://gist.github.com/85a310b8f39b81f96cfcec70f62d67cd,https://youtu.be/WEB0-4QoODo
6,11/5/2022,https://gist.github.com/6dd451db6357ba7bcbe8a14afa6d204e,https://youtu.be/AFa8sVkt40Q,https://gist.github.com/6b3ed1c767ae90b9259e0a9081a7ccf8,https://youtu.be/YOtfhfDhYKI,https://gist.github.com/99db2b2bb0a16940a330ce4bd12e5fc6,https://youtu.be/Ngb--sKUoHc
7,11/6/2022,https://gist.github.com/b39ae75b253ef178479d22c71ca05ddd,https://youtu.be/2t7RmckrkN0,https://gist.github.com/633b4b20759aa572a25e40eafe294810,https://youtu.be/kuSYbaGw40Y,https://gist.github.com/87a7817e88815c02fe9a6bd2c2ba7415,https://youtu.be/RHjM5KFDmkE
8,11/7/2022,https://gist.github.com/0e128ac065a41960b3ea3720ecf368ba,https://youtu.be/WHGakOW7mc8,https://gist.github.com/501f373a1e4f81b5c82d4741943519a0,https://youtu.be/-Su1fcFXANk,https://gist.github.com/61ffae4b000ec3e6da598b0a30127675,https://youtu.be/y5r3ZYeZ7-Q
9,11/8/2022,https://gist.github.com/263af1ef138abea75a4a0da12e57747a,https://youtu.be/pKn3g6YNA9k,https://gist.github.com/cab0da8612497d5652422d8c88df57a4,https://youtu.be/th7EuUBHBgE,https://gist.github.com/c735c3bfd1750f855e1c70f9620a7642,https://youtu.be/hNY8Unln9-M
10,11/9/2022,https://gist.github.com/70315b506a91058f20d6b1a7a47a719f,https://youtu.be/cPRsy8W6ppI,https://gist.github.com/43d08d666ad48221b4ae1ab48f3b05b8,https://youtu.be/z6wTHKyP_-I,https://gist.github.com/fc77162e07d914d5cabfe8ec1987fc02,https://youtu.be/r3eybkbmyGw
11,11/10/2022,https://gist.github.com/f7211d733e8a1c0f24b6c64ebff17460,https://youtu.be/6mPsoioPCbQ,https://gist.github.com/caaac0abe8765bd26f704107f29267b6,https://youtu.be/L76zlU3Tblc,https://gist.github.com/590b0952b581303cca562c143248df6b,https://youtu.be/B3obtYgc0Vs
12,11/11/2022,https://gist.github.com/9bc8234e1ca15aa4947b834f1bfd9273,https://youtu.be/aknh4XXgRgs,https://gist.github.com/154ed68ce0e02cbc70a1c477cb95edac,https://youtu.be/UfWz3NRaUVQ,https://gist.github.com/6623f44ac63e7498a578341ef074d298,https://youtu.be/IvPvhdS9Kos
13,11/12/2022,https://gist.github.com/e705408562fda8f1c7f54bc1244b2409,https://youtu.be/0z0DsC9UGq4,https://gist.github.com/bd5338cdcdb4c46af113f0581afd85b1,https://youtu.be/bcWQ68orwdQ,https://gist.github.com/75c9974d8406ad04e98d06ae4c3a284a,https://youtu.be/3uINHRvq2_0
14,11/13/2022,https://gist.github.com/9d1e5330ab4658257c7efe13ffbf4508,https://youtu.be/Rn68IHktcfM,https://gist.github.com/e015605be66a09bca78cf5a51fcecdd2,https://youtu.be/6f09RuPdvC0,https://gist.github.com/a2a4a546730553cae4e1f072b7f02ec5,https://youtu.be/Rpevv0fWG2M
15,11/14/2022,https://gist.github.com/2ad42e21a9e9ba50c526570a155e8a5f,https://youtu.be/_ZWIJmacnxA,https://gist.github.com/1f285a209f96fea66994eeed7ed5e45a,https://youtu.be/YX7fBQlYdTA,https://gist.github.com/fe5c097a04805b478d2a2952a0d62784,https://youtu.be/1IR73SuIAyE
16,11/15/2022,https://gist.github.com/cb92c9e6c6d65d08267ffea66e246778,https://youtu.be/AGEQZivhvGI,https://gist.github.com/e2e2a3f1c4cfbae89a8c555f6d1c9278,https://youtu.be/V1iuu568ZPk,https://gist.github.com/753823940849cc38f5a4d05097778019,https://youtu.be/kYi9AO0a-YQ
17,11/16/2022,https://gist.github.com/333727737175e620c4a8d594e1c14737,https://youtu.be/sGSsyC7cTDU,https://gist.github.com/89bce44a2d8227617251baea8ab84509,https://youtu.be/CjsdwzPVUrY,https://gist.github.com/7150e467c03d367a301b51fa7549e63d,https://youtu.be/cIao3kHtu2I
18,11/17/2022,https://gist.github.com/8267ea7c78d009ef3e3628494c56188e,https://youtu.be/ELbnP-_VA2Q,https://gist.github.com/e6eddfdd0dd12ff965d6d38ca1e0b63f,https://youtu.be/K5CZMCFT5jM,https://gist.github.com/c48325355d3df254b6e6e1ba5ef17778,https://youtu.be/XTwSM_X6_ZM
19,11/18/2022,https://gist.github.com/72d87665d0962cd92707a94757f21edc,https://youtu.be/eFWOMh_kOR4,https://gist.github.com/ea12b030c39be8223317f35639f1a4f5,https://youtu.be/slFQg5baDII,https://gist.github.com/d6308e243b10d3a61150207063d1a86c,https://youtu.be/jMFuz0ow-xE
20,11/19/2022,https://gist.github.com/5f6c7d958249ce304889a45de3de7123,https://youtu.be/vSfJjUho6Q8,https://gist.github.com/01f3b811ab01a73a67d2d78b1511533c,https://youtu.be/Kti4PXm2a7c,https://gist.github.com/07b1cf5ee6f87740ab0954a3f78af98d,https://youtu.be/ny-p85PQdGI
21,11/20/2022,https://gist.github.com/90b467c2cb15c732a51ef6bb6521ad9c,https://youtu.be/w8zfqvKYfzw,https://gist.github.com/91a1c8fa6b02c4727b47d70781b62e27,https://youtu.be/z3A4TJMhkcc,https://gist.github.com/60adffa31d03bb24691aabf7dd7f3299,https://youtu.be/wloK51pNgHQ
22,11/21/2022,https://gist.github.com/0c2a73f6f272ed3ada70c5fd5c225bb9,https://youtu.be/qI3bp4PIMrw,,,https://gist.github.com/47026db4435b95818965637ec77a12b9,https://youtu.be/_9ZowjeiTFU
23,11/22/2022,https://gist.github.com/613cf7a4212dcc0aa33348a26224ff59,https://youtu.be/B2L2X8UE188,https://gist.github.com/1002382acbc7217fb4ebf65b7294ad35,https://youtu.be/4QMhbhORdMk,https://gist.github.com/d56b363e02b2fe1ec924739ae4ccf343,https://youtu.be/WexW-A1wTgU
24,11/23/2022,https://gist.github.com/d71e888a4e80977fc3ba1bb52f3f920c,https://youtu.be/C8C_83B4WHc,https://gist.github.com/a7b4c6afb2a53fb544001047f7742150,https://youtu.be/FiekwDVmRGQ,https://gist.github.com/ca52f85d7ea86f25331433871e122e43,https://youtu.be/8KW9b1gwS3k
25,11/24/2022,https://gist.github.com/1149a8054eada0803746208b7169e015,https://youtu.be/_QAUCpKyJnw,https://gist.github.com/215e62102e22ae2d22cc892865d0ecd7,https://youtu.be/P6Q_RbU3zWA,https://gist.github.com/85ef21375d440b940b672fcc772ef9d4,https://youtu.be/rwAFb9OG2AU
26,11/25/2022,https://gist.github.com/0879217558dbfc9bde27db6d75c1aa8e,https://youtu.be/j33IuEdJ-aU,https://gist.github.com/c3f58bcf54193eeb7bb07f21dbb696fb,https://youtu.be/EBOiDWiCJfA,https://gist.github.com/0bdaf686754cbc5085f9819f1bab9c29,https://youtu.be/JV1a01IX4hY
Championship,11/26/2022,https://gist.github.com/5e3fd1afa81742cced1a56296b72a774,https://youtu.be/uE4OrKILa3c,https://gist.github.com/28f29e4db32f5afc2fc1ceddc16ed3f0,https://youtu.be/GN2KAI1WW24,https://gist.github.com/e6b38fd555c7fdb0d3194bb1e7acb2fd,https://youtu.be/Kxzg9rP7HsU